MSOAcode,MSOA name,median house price,affordability ratio
E02000427,Haringey 031,575000,13.42
E02000428,Haringey 032,403000,13.64
E02000429,Haringey 033,630000,15.34
E02000430,Haringey 034,550000,13.74
E02000431,Haringey 035,737500,16.25
E02000432,Haringey 036,523000,11.96
E02000433,Harrow 001,495000,13.16
E02000434,Harrow 002,510000,13.06
E02000435,Harrow 003,560000,17.03
E02000436,Harrow 004,740000,18.57
E02000437,Harrow 005,480000,12.97
E02000438,Harrow 006,427101,12.20
E02000439,Harrow 007,452500,13.33
E02000440,Harrow 008,621500,15.15
E02000441,Harrow 009,462000,12.13
E02000442,Harrow 010,452500,13.02
E02000443,Harrow 011,415000,12.72
E02000444,Harrow 012,530000,13.45
E02000445,Harrow 013,397250,12.17
E02000447,Harrow 015,565000,14.56
E02000448,Harrow 016,755975,15.51
E02000449,Harrow 017,408000,15.04
E02000451,Harrow 019,606000,13.43
E02000452,Harrow 020,349950,8.45
E02000453,Harrow 021,395000,8.79
E02000454,Harrow 022,665000,13.89
E02000455,Harrow 023,410475,10.76
E02000456,Harrow 024,490000,12.72
E02000457,Harrow 025,500000,13.80
E02000459,Harrow 027,350000,9.02
E02000460,Harrow 028,385000,11.32
E02000461,Harrow 029,465000,11.14
E02000462,Harrow 030,420000,12.21
E02000463,Harrow 031,450000,12.79
E02000464,Havering 001,315000,9.94
E02000465,Havering 002,316000,9.52
E02000466,Havering 003,350000,10.99
E02000467,Havering 004,296250,8.78
E02000468,Havering 005,345000,10.11
E02000469,Havering 006,311000,9.26
E02000470,Havering 007,380000,10.11
E02000471,Havering 008,431250,11.84
E02000472,Havering 009,365000,10.03
E02000473,Havering 010,389000,10.63
E02000474,Havering 011,360000,10.60
E02000475,Havering 012,471250,10.21
E02000476,Havering 013,270000,7.40
E02000477,Havering 014,440000,11.28
E02000478,Havering 015,806000,18.73
E02000479,Havering 016,325000,9.08
E02000480,Havering 017,317000,9.77
E02000481,Havering 018,403750,11.55
E02000482,Havering 019,523375,12.06
E02000483,Havering 020,382500,9.82
E02000484,Havering 021,390000,10.22
E02000485,Havering 022,390000,9.27
E02000486,Havering 023,385000,10.60
E02000487,Havering 024,614000,15.32
E02000488,Havering 025,415000,11.18
E02000489,Havering 026,360000,9.72
E02000490,Havering 027,340000,9.88
E02000491,Havering 028,335000,9.31
E02000492,Havering 029,360000,9.63
E02000493,Havering 030,306500,9.22
E02000494,Hillingdon 001,845000,16.29
E02000495,Hillingdon 002,485000,12.77
E02000496,Hillingdon 003,353750,11.28
E02000497,Hillingdon 004,510000,11.88
E02000498,Hillingdon 005,477500,10.33
E02000499,Hillingdon 006,615000,13.95
E02000500,Hillingdon 007,630000,13.74
E02000501,Hillingdon 008,512500,12.02
E02000502,Hillingdon 009,420875,10.83
E02000503,Hillingdon 010,475000,11.58
E02000504,Hillingdon 011,590000,13.44
E02000506,Hillingdon 013,568000,14.75
E02000507,Hillingdon 014,410000,11.84
E02000508,Hillingdon 015,462500,10.99
E02000509,Hillingdon 016,355000,9.39
E02000510,Hillingdon 017,430000,12.07
E02000511,Hillingdon 018,410000,11.99
E02000512,Hillingdon 019,390000,10.09
E02000513,Hillingdon 020,349000,10.06
E02000514,Hillingdon 021,380000,10.99
E02000515,Hillingdon 022,327995,8.29
E02000516,Hillingdon 023,345000,11.11
E02000517,Hillingdon 024,337000,11.51
E02000518,Hillingdon 025,392500,10.90
E02000519,Hillingdon 026,442500,12.55
E02000520,Hillingdon 027,368000,11.41
E02000521,Hillingdon 028,359997.5,10.71
E02000522,Hillingdon 029,408000,10.68
E02000523,Hillingdon 030,368975,11.77
E02000524,Hillingdon 031,245500,9.70
E02000525,Hillingdon 032,325000,9.68
E02000526,Hounslow 001,925000,19.01
E02000528,Hounslow 003,446250,12.05
E02000529,Hounslow 004,399950,9.73
E02000530,Hounslow 005,373500,9.43
E02000531,Hounslow 006,500000,13.72
E02000532,Hounslow 007,860000,20.60
E02000533,Hounslow 008,690000,14.47
E02000534,Hounslow 009,560000,9.79
E02000535,Hounslow 010,475000,13.15
E02000536,Hounslow 011,420000,12.12
E02000537,Hounslow 012,465000,11.45
E02000538,Hounslow 013,398250,12.11
E02000539,Hounslow 014,450000,10.94
E02000540,Hounslow 015,390000,10.34
E02000541,Hounslow 016,425000,13.95
E02000542,Hounslow 017,315000,7.50
E02000543,Hounslow 018,295000,7.91
E02000544,Hounslow 019,459000,12.30
E02000545,Hounslow 020,577000,13.77
E02000546,Hounslow 021,351000,10.82
E02000547,Hounslow 022,350000,10.29
E02000548,Hounslow 023,270000,8.72
