MR,MH,AR,EH,PR,ALP
1.162057601,-0.414398222,-0.569865777,-1.087596257,-1.422440464,-0.070492567
1.127084304,-0.541253331,-0.552994757,-1.087596257,-1.847461061,-1.409859274
0.890033177,-1.266445749,-1.856681437,-1.087596257,-1.422440464,0.679600511
0.87123941,-1.015513429,-1.540958499,-1.375336814,-1.422440464,-1.117626451
0.935141665,-0.844828704,-0.848522091,-1.375336814,-0.812267101,-1.078931168
0.914197512,-0.40565917,-0.647378662,-0.886620636,-1.847461061,-0.759372037
0.551290728,-1.20099239,-1.196263253,-1.87963184,-2.170655091,-2.081050711
0.70852713,-0.764489017,-0.896706062,-0.503090299,-1.610602394,1.143435643
0.799362217,-0.299813337,-1.047201724,-0.886620636,-1.422440464,1.143435643
0.993968226,-0.485833784,-0.591133475,-1.087596257,-1.847461061,0.148152241
1.053896774,-0.123868741,-0.059524139,-0.886620636,-0.570789896,-1.852892163
0.825655785,-1.648133065,-1.835912676,-1.87963184,-1.610602394,-1.852892163
1.014596818,-1.003694635,-1.591220993,-1.087596257,-0.812267101,-0.240207327
1.592453001,0.11788958,0.449595342,-1.087596257,-0.725229283,-0.759372037
1.204356947,-0.123868741,0.109112821,0.19070789,-0.068351822,0.433761927
1.428243738,0.180786408,0.559108986,-0.413002038,-1.131185118,-0.19015971
1.02526552,0.998606508,1.31428727,-1.87963184,-0.725229283,0.042039209
1.313927719,0.149653456,0.40370379,-0.413002038,-0.501501429,-0.662950018
1.365102766,0.788346944,0.988009212,-0.413002038,-0.068351822,-0.895401527
1.156877306,0.448382441,0.46462025,-0.886620636,0.096432998,-1.040926643
1.337965302,0.947229213,0.928334903,-1.087596257,-0.645089544,-0.631798784
1.283795817,-1.420978965,-0.970812327,-0.503090299,0.057513428,-0.19015971
1.128148698,-0.427584894,-0.367688381,-1.375336814,-0.645089544,-1.454985224
1.378567508,0.052390283,0.26385147,0.045985379,0.239652166,-0.45439629
1.263619953,0.571516863,1.048614639,-0.041319846,-0.210857502,-0.09383027
1.144525636,-1.075603086,-1.12064905,-1.087596257,-0.262922144,-1.117626451
1.267400867,-1.23348076,1.043523973,-0.263666195,0.424923892,-0.759372037
